SMESG000076170.1	SMESG000076170.1	Gene Expression
SMESG000076172.1	SMESG000076172.1	Gene Expression
SMESG000076173.1	SMESG000076173.1	Gene Expression
SMESG000076174.1	SMESG000076174.1	Gene Expression
SMESG000076175.1	SMESG000076175.1	Gene Expression
SMESG000076211.1	SMESG000076211.1	Gene Expression
SMESG000076223.1	SMESG000076223.1	Gene Expression
SMESG000076236.1	SMESG000076236.1	Gene Expression
SMESG000076246.1	SMESG000076246.1	Gene Expression
SMESG000076256.1	SMESG000076256.1	Gene Expression
SMESG000076257.1	SMESG000076257.1	Gene Expression
SMESG000076260.1	SMESG000076260.1	Gene Expression
SMESG000076262.1	SMESG000076262.1	Gene Expression
SMESG000076267.1	SMESG000076267.1	Gene Expression
SMESG000076268.1	SMESG000076268.1	Gene Expression
SMESG000076269.1	SMESG000076269.1	Gene Expression
SMESG000076273.1	SMESG000076273.1	Gene Expression
SMESG000076275.1	SMESG000076275.1	Gene Expression
SMESG000076276.1	SMESG000076276.1	Gene Expression
SMESG000076290.1	SMESG000076290.1	Gene Expression
SMESG000076305.1	SMESG000076305.1	Gene Expression
SMESG000076325.1	SMESG000076325.1	Gene Expression
SMESG000076328.1	SMESG000076328.1	Gene Expression
SMESG000076329.1	SMESG000076329.1	Gene Expression
SMESG000076341.1	SMESG000076341.1	Gene Expression
SMESG000076342.1	SMESG000076342.1	Gene Expression
SMESG000076346.1	SMESG000076346.1	Gene Expression
SMESG000076347.1	SMESG000076347.1	Gene Expression
SMESG000076350.1	SMESG000076350.1	Gene Expression
SMESG000076354.1	SMESG000076354.1	Gene Expression
SMESG000076358.1	SMESG000076358.1	Gene Expression
SMESG000076360.1	SMESG000076360.1	Gene Expression
SMESG000076363.1	SMESG000076363.1	Gene Expression
SMESG000076364.1	SMESG000076364.1	Gene Expression
SMESG000076365.1	SMESG000076365.1	Gene Expression
SMESG000076369.1	SMESG000076369.1	Gene Expression
SMESG000076371.1	SMESG000076371.1	Gene Expression
SMESG000076375.1	SMESG000076375.1	Gene Expression
SMESG000076384.1	SMESG000076384.1	Gene Expression
SMESG000076385.1	SMESG000076385.1	Gene Expression
SMESG000076389.1	SMESG000076389.1	Gene Expression
SMESG000076390.1	SMESG000076390.1	Gene Expression
SMESG000076395.1	SMESG000076395.1	Gene Expression
SMESG000076397.1	SMESG000076397.1	Gene Expression
SMESG000076398.1	SMESG000076398.1	Gene Expression
SMESG000076399.1	SMESG000076399.1	Gene Expression
SMESG000076405.1	SMESG000076405.1	Gene Expression
SMESG000076406.1	SMESG000076406.1	Gene Expression
SMESG000076407.1	SMESG000076407.1	Gene Expression
SMESG000076408.1	SMESG000076408.1	Gene Expression
SMESG000076409.1	SMESG000076409.1	Gene Expression
SMESG000076410.1	SMESG000076410.1	Gene Expression
SMESG000076420.1	SMESG000076420.1	Gene Expression
SMESG000076421.1	SMESG000076421.1	Gene Expression
SMESG000076422.1	SMESG000076422.1	Gene Expression
SMESG000076438.1	SMESG000076438.1	Gene Expression
SMESG000076443.1	SMESG000076443.1	Gene Expression
SMESG000034409.1	SMESG000034409.1	Gene Expression
SMESG000034453.1	SMESG000034453.1	Gene Expression
SMESG000034377.1	SMESG000034377.1	Gene Expression
SMESG000034379.1	SMESG000034379.1	Gene Expression
SMESG000034389.1	SMESG000034389.1	Gene Expression
SMESG000034399.1	SMESG000034399.1	Gene Expression
SMESG000034404.1	SMESG000034404.1	Gene Expression
SMESG000034407.1	SMESG000034407.1	Gene Expression
SMESG000034423.1	SMESG000034423.1	Gene Expression
SMESG000034428.1	SMESG000034428.1	Gene Expression
SMESG000034433.1	SMESG000034433.1	Gene Expression
SMESG000034450.1	SMESG000034450.1	Gene Expression
SMESG000034452.1	SMESG000034452.1	Gene Expression
SMESG000034462.1	SMESG000034462.1	Gene Expression
SMESG000034469.1	SMESG000034469.1	Gene Expression
SMESG000003663.1	SMESG000003663.1	Gene Expression
SMESG000003648.1	SMESG000003648.1	Gene Expression
SMESG000003647.1	SMESG000003647.1	Gene Expression
SMESG000003635.1	SMESG000003635.1	Gene Expression
SMESG000003633.1	SMESG000003633.1	Gene Expression
SMESG000003631.1	SMESG000003631.1	Gene Expression
SMESG000003625.1	SMESG000003625.1	Gene Expression
SMESG000003624.1	SMESG000003624.1	Gene Expression
SMESG000003622.1	SMESG000003622.1	Gene Expression
SMESG000003621.1	SMESG000003621.1	Gene Expression
SMESG000003620.1	SMESG000003620.1	Gene Expression
SMESG000003619.1	SMESG000003619.1	Gene Expression
SMESG000003618.1	SMESG000003618.1	Gene Expression
SMESG000003612.1	SMESG000003612.1	Gene Expression
SMESG000003597.1	SMESG000003597.1	Gene Expression
SMESG000003596.1	SMESG000003596.1	Gene Expression
SMESG000003593.1	SMESG000003593.1	Gene Expression
SMESG000003588.1	SMESG000003588.1	Gene Expression
SMESG000003571.1	SMESG000003571.1	Gene Expression
SMESG000003570.1	SMESG000003570.1	Gene Expression
SMESG000003567.1	SMESG000003567.1	Gene Expression
SMESG000003566.1	SMESG000003566.1	Gene Expression
SMESG000003565.1	SMESG000003565.1	Gene Expression
SMESG000003564.1	SMESG000003564.1	Gene Expression
SMESG000003563.1	SMESG000003563.1	Gene Expression
SMESG000003551.1	SMESG000003551.1	Gene Expression
SMESG000003549.1	SMESG000003549.1	Gene Expression
SMESG000003548.1	SMESG000003548.1	Gene Expression
SMESG000003547.1	SMESG000003547.1	Gene Expression
SMESG000003546.1	SMESG000003546.1	Gene Expression
SMESG000003545.1	SMESG000003545.1	Gene Expression
SMESG000003544.1	SMESG000003544.1	Gene Expression
SMESG000003543.1	SMESG000003543.1	Gene Expression
SMESG000003538.1	SMESG000003538.1	Gene Expression
SMESG000003513.1	SMESG000003513.1	Gene Expression
SMESG000003511.1	SMESG000003511.1	Gene Expression
SMESG000003508.1	SMESG000003508.1	Gene Expression
SMESG000003505.1	SMESG000003505.1	Gene Expression
SMESG000003504.1	SMESG000003504.1	Gene Expression
SMESG000003494.1	SMESG000003494.1	Gene Expression
SMESG000003492.1	SMESG000003492.1	Gene Expression
SMESG000003734.1	SMESG000003734.1	Gene Expression
SMESG000003729.1	SMESG000003729.1	Gene Expression
SMESG000003727.1	SMESG000003727.1	Gene Expression
SMESG000003718.1	SMESG000003718.1	Gene Expression
SMESG000003715.1	SMESG000003715.1	Gene Expression
